title,content
超载泥头车深夜噪音扰民,最近一连几晚，长安新民二村顺和路，晚上十点不到泥头车就开始疯狂比赛至次日早上五点。那车速和噪音已完全影响了当地村民的作息，房屋像地震一样！！难道这就是东莞创文的表现？还是有领导任意放任？之间是否存在利益输送？同时看看政府建立的这个公众号是否真的能为百姓办实事！盼回复，万分感谢！！！
噪音扰民,周边居民楼，每天发出巨大的装修声，电锯声，严重影响周边居民作息。
凤岗红绿灯坏了一个多星期都没有人维修,您好，在凤岗镇祥利上城的红绿灯一个星期前已经坏了，本人连续几天都打122报障，但凤岗交警大队都敷衍了事，有次更无稽的回复说那红绿灯是链接某工业区，因为该工业区停电，所以红绿灯也罢工。由于这个十字口是通往深圳观澜的重要道路，平常车流量比较大，如果没有红绿灯的调节，极易出现交通事故，望上级部门及时通知相关人员到场维修，日后希望交警部门成立专门负责红绿灯或道理设施报障的热线或邮箱，接到群众报障直接通知维修单位到场，这样更能提高工作效率，因为现在每个交警大队都超负荷工作，每次打电话到122报障，又转到所属镇街交警大队，既增加他们工作量，又降低办理效率。
会展至旗峰路段每晚大塞车,会展至旗峰路段每晚6点大塞车，旗峰路口许多车辆随意变线，跨越实线，加上旗峰公园正门地铁口经常有车停在路边等人，导致车辆不能快速通过。希望交警部门对上述违规行为拍摄处罚。
东莞市大朗镇交通运输分局不作为,"你们好！东莞华科电子有限公司在广东省东莞市大朗镇美景西路638号，该公司的上下班时间为早上7点30分和晚上的19点30分。早上从6点半开始就有至少20到30辆非法载客营运的面包车就停在佛凹三街上等这些要上班的员工，由于街道本来就不宽这些车一乱停就造成了严重的交通堵塞，跟当地居民的生活造成了严重影响。这些非法载客营运面包车拉上人后用严重超速的速度开到华科电子有限公司的门口下人，他们压双黄线掉头,逆向行驶,逆向倒车,急停等违法行为跟过往的车辆和行人造成很严重的安全隐患。由于该公司门口就是通往深圳和长安的主干道，过往车流量较大，早晚上下班的行人很多，已出了多起交通事故为证。这一问题已向大朗镇交警部门和交通运输局反应举报多次，每次的答复是知道了可几年了，从几辆车的规模到现在几十辆非法营运载客。以上爆料问题绝对真实，我愿承担法律责任，请你们本着以事实为依据，请镇府为人民做主！"
为什么投诉了这么久还是没人管,东莞华科电子厂门口那么多非法载客营运的面包车为什么没人管
南城沃尔玛疑售劣质产品,本人在11月初在东莞南城鸿福路口凯德广场沃尔玛商场买了一包惠宜特优枸杞，清洗时严重褪色，会把水染红，疑为硫磺酸熏制产品。要求相关部门查处。
工厂倒闭，管理区不垫付70%工资,本人游乐意（身份证号码：430681198102174915）2014年11月6号入职桑园迅达手袋厂，2016年11月11日工厂突然倒闭。我们员工多次去劳动局、村委交涉没有达成协议结果。因本人老家突发急事便于11月22号晚赶回家， 桑园村委在11月23号突然通知必须在当天下午四点前领70%工资（9-11月份），否则当员工弃权。本人12月2号回东莞后第一时间去村委协商。但是办事员说已过时，不能领回这70%工资。除非上面领导同意，我们一连几天找了相关部门，村委领导不是相互推诿就是不予理睬！办事态度十分不好！工厂欠薪已有几个月，我们一家老小都需要生活，工厂倒闭，作为相关部门和政府，难道不应该帮我们解决基本的生活问题吗？村委既然垫付，为何当天出通知要求当天16点前必须领，否则当我们自动放弃，这样的公告本身就不人道？ 明明知道这样要求，肯定有部分人是无法领取的，无奈，我们只能写信求助，希望相关部门协助！
机动车车辆绿标问题,本人于2016年9在东莞市拍卖行拍得一辆公车，登记年为2001的丰田大霸王，原车牌为粤S.72788，绿色环保标，12月年审到期。11月完成过户手续，新车牌为粤S.944D6。本人于本月7日到寮步检测站进行年审，所有项目均合格，14日本人拿到车管所已年审通过的资料。但是检测站打印的环保标志竟然是黄标，且称为系统所示无法变更，检测站的说法是跟本次年审内容无关，这是环保局系统已存无法变更。本人因为手续正确才拍的二手车，为何过户后就变成黄标车，这不等于报废了吗？请相关单位帮忙核查，并且此之前的记录是国II汽油车，没有任何规定是自动会变为黄标车的。谢谢各位！  附相关单证及未过期的绿标！
常平常谢路（金田花园）没有路灯,常平金田花园谢岗路口红绿灯处路灯坏了好久没有修理。东深路与常谢路口交界处红绿灯坏了好久没有修理，路口红绿灯经常坏，而且又非常暗，泥头车横冲直撞，路边飞尘满天飞，希望有关部门管理下，为老百姓们生活有个良好的环境，及人身安全。
